,,,16day_growth_contition_data_1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1 a few fruits_normal color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fine stem,a few insects,many flowers,a few fruits_normal color,a few fruits_normal color_normal smell,a few fruits_normal color_normal smell_especially tasty,a few fruits_normal color_normal smell_tasty,a few fruits_normal color_good smell,a few fruits_normal color_good smell_especially tasty,a few fruits_normal color_good smell_tasty,"large, light fruits","large, light fruits_normal smell","large, light fruits_normal smell_especially tasty","large, light fruits_normal smell_tasty","large, light fruits_good smell","large, light fruits_good smell_especially tasty","large, light fruits_good smell_tasty","large, heavy fruits","large, heavy fruits_normal smell","large, heavy fruits_normal smell_especially tasty","large, heavy fruits_normal smell_tasty","large, heavy fruits_good smell","large, heavy fruits_good smell_especially tasty","large, heavy fruits_good smell_tasty","small, heavy fruits","small, heavy fruits_normal smell","small, heavy fruits_normal smell_especially tasty","small, heavy fruits_normal smell_tasty","small, heavy fruits_good smell","small, heavy fruits_good smell_especially tasty","small, heavy fruits_good smell_tasty","small, light fruits","small, light fruits_normal smell","small, light fruits_normal smell_especially tasty","small, light fruits_normal smell_tasty","small, light fruits_good smell","small, light fruits_good smell_especially tasty","small, light fruits_good smell_tasty"
sunny,Apple,Sample1-1,,,,58.60%,89.90%,2.21%,97.80%,8.69%,1.60%,98.40%,99.50%,89.90%,2.18%,97.80%,8.64%,1.56%,98.40%,0.32%,73.10%,15.60%,84.40%,24.60%,6.98%,93.00%,1.83E-05,0%,0%,0%,100%,0%,100%,0.23%,91.90%,2.65%,97.30%,8.13%,0%,100%
shade,Apple,Sample1-2,,,,51.90%,89.00%,2.39%,97.60%,9.68%,2.17%,97.80%,98.30%,89.10%,2.35%,97.60%,9.57%,2.11%,97.90%,0.44%,62.00%,19.00%,81.00%,32.60%,8.20%,91.80%,2.34E-05,100%,0%,100%,0%,0%,0%,1.24%,89.10%,1.06%,98.90%,10.20%,0%,100%
sunny,Orange,Sample1-5,,,,69.10%,91.70%,1.24%,98.80%,7.77%,1.15%,98.80%,98.40%,91.70%,1.24%,98.80%,7.72%,1.00%,99.00%,0.22%,64.50%,12.80%,87.20%,31.40%,18.40%,81.60%,9.54E-05,68.80%,9.09%,90.90%,31.20%,0%,100%,1.39%,91.90%,0.14%,99.90%,7.49%,0.57%,99.40%
shade,Orange,Sample1-6,,,,69.20%,89.90%,1.31%,98.70%,9.23%,1.41%,98.60%,98.70%,90.00%,1.29%,98.70%,9.15%,1.30%,98.70%,0.31%,60.70%,17.30%,82.70%,32.50%,12.10%,87.90%,0.02%,54.10%,15.00%,85.00%,45.90%,11.80%,88.20%,0.97%,90.00%,0.12%,99.90%,9.23%,0%,100%
sunny,Pineapple,Sample1-7,,,,70.50%,91.80%,1.75%,98.20%,7.58%,1.34%,98.70%,99.40%,91.80%,1.74%,98.30%,7.56%,1.32%,98.70%,0.13%,68.80%,19.30%,80.70%,26.90%,6.35%,93.70%,2.72E-05,100%,20.00%,80.00%,0%,0%,0%,0.46%,91.10%,0.26%,99.70%,8.16%,1.45%,98.60%
shade,Pineapple,Sample1-8,,,,68.50%,90.90%,1.41%,98.60%,8.53%,1.08%,98.90%,99.70%,91.00%,1.41%,98.60%,8.48%,1.00%,99.00%,0.16%,56.70%,5.66%,94.30%,37.40%,12.90%,87.10%,0%,0%,0%,0%,0%,0%,0%,0.19%,88.20%,0.52%,99.50%,11.80%,0%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2 many fruits_normal color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
